id, iata, icao, name, country_id
1194,MIE,NULL,DELAWARE COUNTY,57
1195,MGR,NULL,THOMASVILLE,57
1196,MUL,NULL,SPENCE,57
1197,MWH,NULL,GRANT COUNTY,57
1198,MTJ,NULL,MONTROSE COUNTY,57
1199,MSV,NULL,SULLIVAN COUNTY INTERNATIONAL,57
1200,MLI,NULL,QUAD-CITIES,57
1201,BFM,NULL,AEROSPACE,57
1202,CNY,NULL,CANYON LAND FIELD,57
1203,MSO,NULL,MISSOULA COUNTY,57
1204,MEV,NULL,DOUGLAS COUNTY,57
1205,MKE,KMKE,GENERAL MITCHELL FIELD,57
1206,MAF,NULL,ODESSA REGIONAL,57
1207,TMB,KTMB,KENDALL-TAMIAMI EXECUTIVE,57
1208,MIA,KMIA,MIAMI INTL,57
1209,OPF,KOPF,OPA LOCKA,57
1210,MPB,NULL,SEAPLANE BASE,57
1211,MEI,NULL,KEY FIELD,57
1212,MCE,NULL,MERCED MUNICIPAL,57
1213,MEM,KMEM,MEMPHIS INTERNATIONAL AIRPORT,57
1214,MYU,NULL,ELLIS FIELD,57
1215,MTO,NULL,COLES COUNTY,57
1216,MSS,NULL,RICHARD'S FIELD,57
1217,MYV,NULL,YUBA COUNTY,57
1218,MML,NULL,MUNICIPAL-RYAN FIELD,57
1219,MQT,NULL,SAWYER INTERNATIONAL,57
1220,MWA,NULL,WILLIAMSON COUNTY,57
1221,NTJ,NULL,MANTI EPHRAIM,57
1222,MFD,NULL,LAHM MUNICIPAL,57
1223,MBL,NULL,MANISTEE-LUDINGTON,57
1224,MHT,NULL,AMMON MUNICIPAL,57
1225,MSN,NULL,DANE COUNTY REGIONAL,57
1226,MCN,NULL,LEWIS B. WILSON,57
1227,BAF,NULL,BARNES,57
1228,EAT,NULL,PANGBORN FIELD,57
1229,CWA,NULL,CENTRAL WISCONSIN,57
1230,WVL,NULL,ROBERT LAFLEUR,57
1231,IAD,KIAD,DULLES INTL,57
1232,WSG,NULL,COUNTY,57
1233,CNW,NULL,JAMES CONNALL,57
1234,VCT,NULL,COUNTY-FOSTER,57
1235,YWH,NULL,INNER HARBOUR,57
1236,VPS,NULL,FORT WALTON BEACH,57
1237,VPZ,NULL,PORTER COUNTY,57
1238,EGE,NULL,EAGLE COUNTY,57
1239,UTO,NULL,INDIAN MOUNTAIN AFS,57
1240,UCA,NULL,ONEIDA COUNTY,57
1241,TYR,NULL,POUNDS FIELD,57
1242,TWF,NULL,JOSLIN FIELD,57
1243,WNC,NULL,NICHEN COVE,57
1244,TUP,NULL,LEMONS MUNICIPAL,57
1245,TNJ,NULL,KIJANG,57
1246,TOL,NULL,EXPRESS,57
1247,TXK,NULL,MUNICIPAL,57
1248,HUF,NULL,HULMAN FIELD,57
1249,TPL,NULL,DRAUGHON-MILLER,57
1250,TAL,NULL,RALPH CALHOUN,57
1251,TLH,NULL,MUNICIPAL,57
1252,SYR,KSYR,SYRACUSE-HANCOCK INTL,57
1253,TPA,KTPA,TAMPA INTL,57
1254,SUE,NULL,DOOR COUNTY,57
1255,MMN,NULL,MINUTE MAN,57
