id,iata,icao,name
1,W9,WUK,Wizz Air UK
2,ZY,ADE,Ada Air
3,JP,ADR,Adria Airways
4,NULL,ADV,Advance Air Charters
5,EI,EIN,Aer Lingus Teoranta
6,QT,ATT,Aer Turas Teoranta
7,NULL,AAD,Mann Air Ltd (t/a Ambassador)
8,N6,ACQ,Aero Continente S.A.
9,ML,AEK,Aero Costa Rica
10,NULL,FIT,"Aero Fiesta Mexicana, S.A. De C.V."
11,GV,ARF,Aero Flight
12,YP,AEF,Aero Lloyd Flugreisen Gmbh Und Co. Luftverkehrs  Kg. Frankfurt
13,W4,BES,Aero Services Executive
14,NULL,AMP,Aero Transporte S.A. (Atsa)
15,Z9,RZL,Aero Zambia Limited
16,NULL,ACU,Aerocancun
17,NULL,CDA,Aerocardal
18,NULL,ADN,"Aerodienst Gmbh, Nurnburg"
19,NULL,DNC,Aerodinamics Malaga
20,NULL,ROL,Aeroel Airways Ltd
21,SU,AFL,Aeroflot Russian Airlines
22,NULL,PCP,Aerolinea Principal
23,AR,ARG,Aerolineas Argentinas
24,3L,DLU,Aerolineas Del Sur
25,N2,LNT,Aerolineas Internacionales S.A. De C.V.
26,NULL,LTN,"Aerolineas Latinas, C.A."
27,NULL,NSO,Aerolineas Sosa
28,EX,SDO,"Aerolineas Santo Domingo, S.A."
29,QO,MPX,"Aeromexpress, S.A. De C.V."
30,6C,KRE,Aerosucre S.A.
31,VV,AEW,Aerosvit Airlines
32,NULL,ATD,"Aerotours Dominicana, C. Por A."
33,MY,MAA,Mas de Carga - Mas Air Cargo
34,QA,CBE,Aerocaribe
35,NULL,DAP,Aerovias Dap
36,NULL,GRR,Agroar - Trabalhos Aereos Lda.
37,DP,AMM,Air 2000 Ltd
38,H7,LFA,Air Alfa Havayollari Ve Tic. A.S.
39,AH,DAH,Air Algerie
40,NULL,AMY,"Air Ambar, S.A."
41,KI,AAG,Air Atlantique
42,OU,OUL,Air Atonabee Limited
43,NULL,AAI,"Air Aurora, Inc. (Sugar Grove, Il)"
44,UU,REU,Air Austral
45,YH,BFF,Air Baffin
46,BT,BTI,Air Baltic Corporation Sia
47,NULL,BAN,Air Ban Ltd
48,BX,ABL,"Air Busan Co., Ltd"
49,AB,BER,"Air Berlin, Inc."
50,NULL,BRI,Air Bor
51,KF,KFB,"Air Botnia Oy Ab, Finland"
52,BP,BOT,"Air Botswana (Pty.), Ltd."
53,NULL,BRL,Air Brasd'Or
54,NULL,BRF,Air Bravo
55,NULL,AZX,Air Bristol Ltd
56,NULL,ABT,"Air Brousse, Inc"
57,NULL,BUD,Air Budapest Club Ltd
58,2J,VBW,Air Burkina
59,NULL,BSS,"Air Business, S.L."
60,NULL,BUA,Air Busol
61,TY,ACM,Air Caledonia Inc.
62,TY,TPC,Air Caledonie
63,SB,ACI,Air Caledonie International
64,NULL,CAN,"Air Canarias, S. Coop Ltda"
65,NULL,ACP,Air Cape
66,NULL,ACL,Air Capitol
67,NULL,ISB,Air Caraibes
68,NULL,WCI,Air Care (Sw) Ltd
69,NULL,MVM,"Air Cargo America, Inc. (Miami, Fl)"
70,NULL,CGB,Air Cargo Belize Limited
71,NULL,SNC,"Air Cargo Carriers, Inc. (Milwaukee, Wi)"
72,NULL,RCI,Air Cassai Lda.
73,NULL,ACS,"Air Cess (Liberia), Inc."
74,NULL,ECR,Air Charter Express A/S
75,NULL,LIO,Air Charter Ltd. (Leiguflug Isleifs Ottesen)
76,NULL,CHR,Air Charter Services (Acs)
77,NULL,IPL,"Air Charter Services (Pty) Ltd, South Africa"
78,NULL,XAC,"Air Charter World (Corrales, Nm)"
79,NULL,ACX,"Air Charters, Inc."
80,CA,CCA,Air China
81,NULL,ACO,Air Columbia
82,NULL,CNB,Air Columbus Sa
83,NULL,CPY,Air Company
84,NULL,JID,"Air Condal, S.A."
85,NULL,RCS,Air Consul S.A.
86,NULL,NAR,"Air Continental, Inc. (Elyria, Oh)"
87,NULL,ARK,Air Corse
88,NULL,OPL,Air Cote D'Opale
89,YN,CRQ,Air Creebec
90,NULL,DMT,Air Dan
91,NULL,AFS,Air Data Ltd
92,EN,DLA,Air Dolomiti
93,NULL,ADT,Air Dorval Ltee.
94,NULL,AEG,Air East
95,K5,JND,Air East Africa Ltd
96,NULL,AYY,Air Alliance Express
97,RQ,RQX,Air Engiadina
98,NULL,AEN,Air Entreprise
99,UX,AEA,"Air Europa Lineas Aereas, S.A."
100,PE,AEL,Air Europe Spa
101,NULL,IVS,Air Evasion
102,NULL,EVE,"Air Evex Gmbh, Dusseldorf"
103,NULL,EXG,"Air Exchange, Inc. (Dallas, Tx)"
104,NULL,BXL,Air Exel Belgique
105,NULL,AOL,Air Exel Executive
106,XT,AXL,Air Exel Netherlands B.V.
107,NULL,AED,Air Experience Flight
108,NULL,AXP,Air Express A.S.
109,NULL,GOT,Air Express In Norrkoping Ab
110,NULL,AFH,Air Fecteau Ltee.
111,NULL,RFO,Air Foyal
112,NULL,AFY,Air Foyle (Executive) Ltd
113,NULL,UPD,Air Foyle Charter Airways Ltd
114,NULL,UPB,Air Foyle Charters Ltd
115,AF,AFR,Air France
116,NULL,AFX,"Air Freight Express, Inc. (Minneapolis, Mn)"
117,NULL,ABN,Air Fret Senegal
118,NULL,AGS,Air Gambia
119,NULL,GEF,Air Gefco
120,DA,GEO,Air Georgia
121,NULL,GGN,Air Georgian
122,NULL,GHN,Air Ghana
123,NULL,AGV,Air Glaciers Sa
124,G8,CGW,Air Great Wall
125,NULL,AGJ,Air Greece Sa
126,NULL,AGM,"Air Guam (Tamuning, Gu)"
127,GI,GIB,Air Guinee
128,NULL,HJA,Air Haiti
129,NULL,AHL,Air Hanson Ltd.
130,NULL,AHR,Air Adriatic
131,NULL,AHN,Air Hungaria Ltd
132,NULL,AIF,Air Ile De France
133,NULL,AIL,"Air Illinois, Inc. (Carbondale, Il)"
134,NULL,IMS,Air Images
135,AI,AIC,Air India Building
136,NULL,AII,Air Integra
137,NULL,AIG,Air Inter Gabon
138,NULL,AWH,Air Inter Niger
139,IT,ITF,"Air Inter, Societe"
140,NULL,AIE,Air Inuit Ltd.
141,NULL,IRD,Air Iren
142,VU,VUN,"Air Ivoire, Societe"
143,JM,AJM,Air Jamaica
144,NULL,AIJ,Air Jet
145,NULL,AKL,Air Kilroe Ltd.
146,NULL,KLD,Air Klaipeda
147,NULL,AKA,Air Korea Co. Ltd.
148,JS,KOR,Air Koryo
149,UE,UED,"Air L.A., Inc. (Los Angeles, Ca)"
150,NULL,RKS,Air Lana
151,UL,ALK,Air Lanka
152,NULL,ALI,Air Liberia
153,VD,LIB,Air Liberte
154,NULL,KLA,Air Lietuva
155,NULL,LMT,Air Limousin T.A.
156,NULL,ALN,"Air Lincoln, Inc. (Chicago, Il)"
157,NULL,UDD,Air Lines Donbass
158,FU,LIT,Air Littoral
159,NULL,ALG,"Air Logistics (Lafayette, La)"
160,NULL,ACG,Air London International Plc
161,NULL,AMU,Air Macau
162,MD,MDG,"Air Madagascar, Societe Nationale Malgache  De Transports Aeriens"
163,NULL,MLN,Air Madeleine Inc.
164,QM,AML,Air Malawi Limited
165,NULL,AMI,Air Maldives
166,L9,MLI,Air Mali S.A.
167,NULL,MAG,Air Margarita
168,NULL,AMG,Air Material Ag
169,MR,MRT,Air Mauritanie
170,MK,MAU,Air Mauritius Limited
171,NULL,JDE,Air Med Jetoperations
172,NULL,MCD,Air Medical Ltd
173,NULL,AMZ,Air Meuse - Dat Wallonie
174,ZV,AMW,"Air Midwest, Inc. (Wichita, Ks)"
175,9U,MLD,Air Moldova
176,RM,MLV,"Air Moldova International, S.A."
177,NULL,AMN,Air Montenegro
178,NULL,MAI,Air Moravia
179,NULL,MOA,Air Moravia Czech Charter Airline Ltd
180,NULL,AMS,Air Muskoka
181,NULL,NPR,Air Napier
182,ON,RON,Air Nauru
183,NULL,ANB,Air Navigation And Trading Co. Ltd.
184,NULL,RLK,Air Nelson Ltd
185,NZ,ANZ,Air New Zealand Ltd.
186,NULL,NER,"Air Newark, Inc. (Fort Lee, Nj)"
187,DB,DBD,Air Niagara Express Inc.
188,NULL,AWN,Air Niger S.A.
189,NULL,ANK,Air Nippon Co. Ltd.
190,PX,ANG,Air Niugini
191,ID,RNO,Air Normandie
192,4N,ANT,Air North Charter
193,NULL,HMT,Air Nova
194,QK,ARN,Air Nova Inc.
195,NULL,ONE,Air One Ab
196,NULL,ONT,Air Ontario Limited
197,NULL,OOE,Air Operations Of Europe Ab
198,8K,VTR,Air Ostrava Ltd
199,NULL,FJI,Air Pacific Limited
200,NULL,APA,Air Park Aviation Ltd.
201,NULL,EAP,Air Partner Of Sweden Ab
202,NULL,PTG,"Air Patagonia - Lineas Aereas Del Sur, S.A."
203,2P,GAP,Air Philippines Corporation
204,NULL,APQ,Air Philippines Corporation Inc.
205,NULL,APV,Air Plan International
206,NULL,FUR,Air Poitiers
207,NULL,AQN,Air Queensland
208,NULL,ARZ,"Air Resorts (Carlsbad, Ca)"
209,NULL,RBV,Air Roberval
210,NULL,ARC,Air Routing International Corporation
211,NULL,RUS,Air Russia Airline
212,NULL,RWD,Air Rwanda
213,NULL,SRI,Air Safaris And Services (Nz) Ltd
214,NULL,SGA,Air Saigon
215,NULL,SPM,Air Saint Pierre
216,NULL,SNY,Air Sandy Inc.
217,2P,SRV,Air Saravi
218,NULL,ARS,Air Sardinia International
219,QR,ASJ,Air Satellite Inc.
220,NULL,ASV,Air Savoie
221,NULL,ASF,Air Schefferville Inc.
222,DS,DSB,"Air Senegal, Societe Nationale De Transport Aerien"
223,NULL,ODB,Air Service
224,NULL,RSA,Air Service Affaires
225,NULL,RSZ,Air Service State Company
226,NULL,ATZ,Air Service Training Ltd
227,NULL,VGE,Air Service Vosges
228,NULL,RSV,Air Services
229,NULL,RIS,Air Services Ltd
230,HM,SEY,Air Seychelles
231,BM,SIC,Air Sicilia S.P.A
232,4D,ASD,Air Sinai
233,NULL,SCK,Air Sinclair Ltd
234,NULL,SVK,Air Slovakia Bwj Ltd
235,NULL,SFB,Air Sofia
236,NULL,WHY,Air Sorel Ltee.
237,8H,PIE,Air South West
238,WV,KKB,"Air South, Inc. (Columbia, Sc)"
239,WV,SHW,"Air South, Inc. D/B/A Shawnee  Airlines, Inc. (Homestead, Fl)"
240,NULL,ASW,Air Southwest
241,NULL,ASX,Air Special
242,NULL,AMR,"Air Specialties Corporation D/B/A/ Air  America/Total Air (Los Angeles, Ca)"
243,NULL,SIP,"Air Spirit Inc. (Dallas, Tx)"
244,ZP,STT,"Air St. Thomas (St. Thomas, U.S.V.I.)"
245,NULL,AZU,Air Star Zanzibar
246,GO,SOR,Air Stord A.S.
247,IU,ASN,"Air Straubing Luftfahrtgesellschaft Mbh, Atting"
248,YI,RSI,Air Sunshine Inc
249,NULL,NCR,Air Sur
250,NULL,CWS,Air Swazi Cargo (Pty) Ltd.
251,NULL,SWF,Air Swift
252,NULL,JOA,Air Swift Aviation
253,VT,VTA,Air Tahiti
254,TC,ATC,Air Tanzania
255,NULL,AGP,Air Tara Limited
256,HT,HTT,"Air Tchad, Societe De Transports Aeriens"
257,8W,TTX,Air Team A.S.
258,NULL,CTE,Air Tenglong
259,NULL,TRX,Air Terrex
260,NULL,THL,Air Thanet
261,NULL,TDY,"Air Today, Inc. (Denver, Co)"
262,NULL,ATO,Air Tonga
263,NULL,CNE,Air Toronto Inc.
264,NULL,ATU,Air Toulon
265,NULL,TLE,Air Toulouse
266,NULL,ATJ,Air Traffic Gmbh
267,NULL,NGG,Air Trans Ng Group
268,NULL,TRF,Air Transafrik Limited
269,TS,TSC,Air Transat
270,NULL,CVA,Air Transport (Chatham Island) Ltd
271,NULL,ATA,"Air Transport Association Of America (Washington, Dc)"
272,NULL,ATN,"Air Transport International (Tulsa, Ok)"
273,NULL,ATQ,Air Transport Schiphol
274,NULL,ATS,Air Transport Service
275,NULL,EAT,"Air Transport, Ltd"
276,NULL,ATH,"Air Travel Corp. (Worcester, Ma)"
277,NULL,TKA,Air Troika
278,NULL,TRK,Air Truck
279,VK,TUN,Air Tungaru
280,NULL,TUQ,Air Turquoise
281,NULL,LEI,Air Uk (Leisure) Ltd
282,UK,UKA,Air Uk Ltd.
283,6U,UKR,Air Ukraine
284,NULL,UKC,Air Ukraine Cargo
285,PS,AUI,Ukraine International Airlines
286,NULL,UNC,Air Una
287,NF,AVN,Air Vanuatu
288,NULL,BAV,Air Varna Co. Bulgarian Charter And Cargo Flights
289,6V,VGA,"Air Vegas Airlines, Inc. (Las Vegas, Nv)"
290,NULL,AVD,Air Vendee
291,NULL,VIM,Air Via
292,NULL,AWT,Air West
293,NULL,RWS,Air Whitsunday
294,NULL,AWI,"Air Wisconsin Airlines Corporation (Appleton, Wi)"
295,NULL,AWD,Air World Ltd.
296,NULL,ARX,"Air Xpress, Inc, (Greensboro, Nc)"
297,NULL,SYD,Air Yendis Limited
298,NULL,YRG,Air Yugoslavia
299,QC,AZR,"Air Zaire, Societe"
300,NULL,AZL,Air Zanzibar Limited
301,A9,TGZ,Georgian Airways
302,UM,AZW,Air Zimbabwe
303,NULL,MZA,Air Zory
304,8Y,PBU,Air Burundi
305,NULL,WPK,"Air-Lift Associates, Inc. (Morrisville, Nc)"
306,NULL,XPR,"Air-Rep (Los Angeles, Ca)"
307,NULL,AGB,Air-Service-Gabon
308,NULL,ASB,Air-Spray 1967 Ltd.
309,NULL,IAV,Airavia
310,NULL,ABX,"Airborne Express, Inc. (Wilmington, Oh)"
311,ZF,MIW,Airborne Of Sweden Ab
312,NULL,RGT,Airbourne School Of Flying
313,NULL,AIB,Airbus Industrie
314,NULL,RCM,Aircam Aviation Ltd
315,NULL,AKT,Aircompany Karat
316,NULL,MSL,Aircompany Mals Ltd
317,NULL,AMV,Aircraft Maintenance Company
318,NULL,RCR,Aircroatia
319,4C,ARE,"Aires, Aerovias De Integracion Regional S.A."
320,NULL,AFE,Airfast Service Indonesia Pt
321,NULL,ARL,Airlec
322,NULL,LNA,Airlen
323,NULL,GSP,"Airlift Alaska (Anchorage, Ak)"
324,NULL,ACV,Airline Cargo Services
325,NULL,MRS,Airline Of The Marshall Islands
326,NULL,XAO,"Airline Operations Services (San Francisco, Ca)"
327,C4,COU,Airlines Of Carriacou Ltd.
328,IP,ATM,Airlines Of Tasmania
329,NULL,LIS,"Airlis, S.A."
330,NULL,AYM,"Airman, S.L."
331,NULL,TRH,"Airmark Aviation, Inc. (Orlando, Fl)"
332,NULL,APC,"Airpac (Seattle, Wa)"
333,NULL,APM,"Airpac, Inc. (Anchorage, Ak)"
334,NULL,REZ,"Airplanes, Inc. D/B/A Cal-West Aviation (Concord,Ca)"
335,5S,SPD,Airspeed Aviation Inc.
336,NULL,JSC,"Airstan, Joint-Stock Aviation Company"
337,NULL,JOK,Airtaxi Bedarfsluftverkehrsges M.B.H.
338,VZ,AIH,Airtours Plc.
339,NULL,MTE,"Airtran Airways, Inc. (Orlando, Fl)"
340,4K,AAS,Askari Aviation (PVT) Ltd
341,DO,RVL,Air Vallee S.P.A.
342,NULL,RVE,"Airventure, Bvbd"
343,NULL,AIV,Airvias S/A Linhas Aereas
344,NULL,SEV,Airvita
345,NULL,VOG,Airvolga
346,NULL,AWV,Airwave Transport Inc.
347,NULL,AEX,"Airway Express, Inc. (Mesa, Az)"
348,NULL,XFX,Airways Corporation Of New Zealand Limited
349,HO,AWB,"Airways International, Inc. (Miami Springs, Fl)"
350,NULL,PST,Airwork (New Zealand) Ltd
351,NULL,HRN,Airwork Ltd
352,NULL,AWK,Airwork Services Training
353,NULL,AIS,Ais
354,E9,TRJ,Ajt Air International
355,NULL,AKD,Akdeniz Hava Tasimacilik Tic. Ve San. A.S.
356,NULL,AKS,Akhmos-1
357,6L,AKK,Aklak Air Ltd.
358,NULL,ABJ,Ala Abaete Linhas Aereas S/A
359,NULL,LSV,Alak
360,NULL,ANM,"Alamo Aviacion, S.L., Compania De Trabajos Aereos"
361,NULL,AMH,Alan Mann Helicopters Ltd.
362,NULL,ALW,"Alas Nacionales, S.A."
363,AS,ASA,Alaska Airlines Inc.
364,NULL,AER,"Alaska Central Express, Inc. (Fairbanks, Ak)"
365,NULL,AAK,"Alaska Island Air, Inc. (Anchorage, Ak)"
366,NULL,WAK,"Alaska Juneau Aeronautics, Inc. D/B/A  Wings Of Alaska (Juneau, Ak)"
367,LV,LBC,Albanian Airlines Mak S.H.P.K.
368,NULL,BNI,Alberni Airways
369,NULL,GOA,Alberta Government
370,NULL,JMR,Alexandair Inc.
371,NULL,AFA,Alfa Air
372,NULL,AJE,Alfa Jet
373,NULL,AMA,Alfred Mcalpine Aviation Ltd
374,NULL,ALR,"Algarvilara, Transportes Aereos Algarvios, S.A."
375,L9,AGG,Algoma Airways Inc.
376,NULL,ALJ,Ali Capitol Spa
377,NULL,LID,Alidaunia Srl
378,NULL,LSI,Alis
379,NULL,ALL,Aliserio
380,AZ,AZA,Alitalia - Compagnia Aerea Italiana S.P.A.
381,NULL,ALX,Alitaxi Srl
382,NULL,LKA,Alkair Flight Operations A/S
383,NULL,AKN,Alkan Air Ltd.
384,NULL,BLA,All Charter Limited
385,NULL,ALT,All Leisure Aviation Ltd
386,NH,ANA,"All Nippon Airways Co., Ltd."
387,NULL,ASR,"All Star Airlines, Inc. (Woburn, Ma)"
388,NULL,CNX,Allcanada Express Ltd
389,NULL,AFJ,Alliance
390,NULL,ALF,Allied Command Europe (Mobile Force)
391,EE,LWE,Allwe
392,NULL,ALH,"Alpha Air (Van Nuys, Ca)"
393,NULL,APH,"Alpha Aviation, Inc. (Dallas, Tx)"
394,E8,ELG,Alpi Eagles S.P.A.
395,5A,AIP,"Alpine Aviation, Inc. (Provo, Ut)"
396,NULL,ALU,Alpine Luft-Transport Ag
397,NULL,ALP,Alpliner Ag
398,NULL,AQC,"Alquiladora De Casas, S.A. De C.V."
399,AL,LSR,"Alsair, Societe"
400,NULL,ALV,"Alsavia, Societe"
401,NULL,ALZ,Alta Flights (Charters) Ltd
402,NULL,ALQ,Altair Aviation (1986) Ltd
403,NULL,AID,Alti
404,NULL,AXS,"Altus Airlines (Altus, Ok)"
405,NULL,AQO,"Aluminum Company Of America, Alcoa Aircraft Operations (West Mifflin, Pa)"
406,NULL,AAV,"Astro Air International, Inc"
407,NULL,ALY,"Alyeska Air Service (Anchorage, Ak)"
408,NULL,AGT,Amadeus Global Travel Distribution S.A.
409,NULL,AIM,Ambulancias Insulares S.A.
410,NULL,OBI,Amedair Nig. Ltd
411,NULL,VAM,Ameravia
412,NULL,AMK,Amerer Air
413,HP,AWE,"America West Airlines (Tempe, Az)"
414,NULL,EJM,"American Air Services,Inc. D/B/A Executive Jet  Management, Inc. (Cincinnati, Oh)"
415,AA,AAL,American Airlines Inc.
416,NULL,XFS,"American Flight Service Systems, Inc. (Phoenix, Az)"
417,TZ,AMT,"American Trans Air, Inc."
418,NULL,AMF,"Ameriflight, Inc. (Burbank, Ca)"
419,JH,AJT,"Amerijet International (Ft.Lauderdale, Fl)"
420,NULL,MIA,Ami (Air Mercury International)
421,NULL,MMP,"Amp Incorporated (Harrisburg, Pa)"
422,NULL,XAM,"Amr Services Corp (Dallas, Tx)"
423,NULL,ANX,Anax Aviation
424,NULL,ADX,"Anderson Aviation, Inc. (Anderson, In)"
425,NULL,ANC,Anglo Cargo Ltd.
426,NULL,NGV,Angoavia
427,NULL,TIR,"Antair, S.A. De C.V."
428,NULL,SUN,"Antillana De Navegacion Aerea, S.A."
429,NULL,ALM,Antilliaanse Luchtvaart Maatschappij
430,NULL,UAP,Antonov Airtrack
431,IW,AOM,Aom-Minerve S.A.
432,7P,APY,Apa Internacional
433,NULL,APX,"Apex Air Cargo (Honolulu, Hi)"
434,NULL,AOA,Apollo Airlines
435,NULL,APL,"Appalachian Flying Service, Inc. (Blountville, Tn)"
436,NULL,AQL,Aquila Air Ltd.
437,NULL,CNH,"Aquila Air, Inc. (Endicott, Ny)"
438,NULL,AGC,Arab Agricultural Aviation Company
439,NULL,AWF,Arab Air Cargo
440,NULL,AWS,Arab Wings Company
441,NULL,AZD,Aral
442,NULL,ARV,Aravco Ltd.
443,NULL,RXA,Arax Airlines Ltd.
444,U5,RXR,Arax Airways
445,NULL,AZO,Arazaero
446,NULL,ABW,Arberia Airways
447,NULL,AKC,Arca Aerovias Colombianas Ltda.
448,F5,ACY,Archana Airways Ltd
449,NULL,AEB,Arctic
450,5F,CIR,"Arctic Circle Air Service, Inc. (Fairbanks, Ak)"
451,NULL,AWR,Arctic Wings And Rotors Ltd
452,ZE,AZE,"Arcus-Air-Logistic Gmbh, Mannheim"
453,NULL,RGO,"Argo, S.A."
454,NULL,ARY,"Argosy Airways (Oxnard, Ca)"
455,NULL,UKU,Ariana Afghan Airlines
456,NULL,AAE,"Express Air, Inc (Phoenix, Az)"
457,VZ,AZY,"Arizona Airways, Inc. (Tucson, Az)"
458,NULL,AZP,"Arizona Pacific Airways (Prescott, Az)"
459,NULL,OAO,Arkhangelsk 2 Aviation Division
460,IZ,AIZ,Arkia Israel Inland Airlines
461,NULL,ARQ,Armstrong Air Inc.
462,NULL,AAC,Army Air Corps
463,NULL,PXX,"Aroostook Aviation, Inc. (Frenchville, Me)"
464,NULL,JTS,"Arrendamiento De Aviones Jets, S.A."
465,NULL,APW,"Arrow Airways, Inc."
466,NULL,ARO,Arrow Aviation Ltd.
467,NULL,ARH,"Arrowhead Airways (Minneapolis, Mn)"
468,NULL,ARW,Arrows Ltd
469,AVS,AVS,AVS LTD
470,NULL,ABA,Artem-Avia
471,NULL,MTI,Arturo Rodriguez Martinez
472,NULL,SPB,Asa
473,NULL,ACR,"Asa, Air Starline Ag"
474,NULL,NOC,Ascor Flyservice A.S.
475,NULL,XKX,Asecna - Agence Pour La Securite De La Navigation  Aerienne En Afrique Et A Madagascar
476,NULL,KAA,"Asia Aero Survey And Consulting Engineers, Inc"
477,CN,APK,Asia Pacific Air Cargo Pte Ltd
478,NULL,APD,Asia Pacific Distribution
479,NULL,ASQ,Asia Service Airlines
480,OZ,AAR,Asiana Airlines
481,NULL,XJA,Assistance Aeroportuaire De L'Aeroport De Paris
482,NULL,GIN,Association De Recherche Et D'Exploitation De Diamant Et De L'Or (Aredor)
483,NULL,AOI,Astoria Inc.
484,NULL,ASZ,Astrakhan
485,SKY,SYX,"Astral Aviation, Inc. D/B/A Skyway Airlines  (Milwaukee, Wi)"
486,NULL,XAT,"At And T Aviation Division (Morristown, Nh)"
487,9T,ABS,Athabaska Airways Ltd.
488,NULL,THN,Athens Air
489,3G,AYZ,Atlant-Soyuz
490,CC,ABD,Air Atlanta Icelandic
491,NULL,ATB,Atlantair Ltd.
492,NULL,MDC,"Atlantic Aero, Inc. D/B/A Atlantic Aero And  Mid-Atlantic Freight (Greensboro, Nc)"
493,NULL,CAO,Atlantic Air
494,NULL,BLB,Atlantic Air Bvi
495,NULL,BJK,"Atlantic Airlines (Orlando, Fl)"
496,RC,FLI,"Atlantic Airways, P/F, Faroe Islands"
497,DH,BLR,"Atlantic Coast Airlines D/B/A  United Express (Sterling, Va)"
498,NULL,AGF,"Atlantic Gulf Airlines, Inc. (Clearwater, Fl)"
499,NULL,TRG,Atlantic Island Air
500,NULL,AIW,Atlantic Island Airways
501,NULL,NRS,"Atlantic Richfield Company (Anchorage, Ak)"
502,NULL,RCU,Atlantic S.L.
503,EV,ASE,"Atlantic Southeast Airlines, Inc. (Hapeville, Ga)"
504,NULL,TLN,Atlantico Linhas Aereas S/A
505,NULL,AAO,"Atlantis Airlines (Myrtle Beach, Sc)"
506,NULL,ATE,"Atlantis Transportation Services, Ltd."
507,5Y,GTI,"Atlas Air, Inc."
508,NULL,ATR,"Atlas Airlines (Muncie, In)"
509,NULL,IRH,Atlas Aviation Group
510,NULL,SMA,Atlas Aviation Simera (Pty) Ltd
511,NULL,AUV,Atruvera
512,NULL,AVT,Ats Aircharter Ltd.
513,NULL,ROS,Ats-Aviation Transport Services (Ats-Servicii De   Transport Aerian)
514,NULL,WPR,Auckland Regional Rescue Helicopter Trust
515,NULL,ADI,Audeli Air Express
516,NULL,AUD,"Audi Air, Inc. (Kaktovik, Ak)"
517,NULL,AUB,Augsburg-Airways Gmbh
518,NULL,AUF,"Augusta Air Luftfahrtunternehmen, Augsburg"
519,NULL,POM,Aurelio Y Gustavo Pompa Estrella
520,GR,AUR,Aurigny Air Services Ltd.
521,AU,AUT,Austral Lineas Aereas
522,IM,AAU,Australia Asia Airlines Limited
523,NULL,AUS,Australian Airlines
524,NULL,ADA,"Australian Civil Aviation Authority, Flying Unit"
525,NULL,OAF,Austrian Air Ambulance
526,OS,AUA,Austrian Airlines AG dba Austrian
527,NULL,MBA,Automobilvertriebs Aktiengesellschaft
528,NULL,LES,Automotores Salta S.A.C.Y F.
529,NULL,KYC,"Av Atlantic (Ft. Lauderdale, Fl)"
530,NULL,VAI,Avalair
531,NULL,ATV,Avanti Air
532,NULL,VCN,Execujet Europe Ag
533,VE,AVE,"Avensa, Aerovias Venezolanas, S.A."
534,NULL,ESE,"Avesen, S.A. De C.V."
535,3R,ARB,Avia Air N.V.
536,NULL,VIL,Avia Airlines
537,RX,AEH,Avia Express Ltd.
538,NULL,FIL,"Avia Filipinas International, Inc."
539,NULL,AVK,Avia Kargo Sisitem A.S.
540,NULL,AVU,Avia Sud
541,NULL,NUR,Avia-Nur
542,NULL,VCO,Aviacion Colombiana Ltda.
543,NULL,VME,"Aviacion Comercial De America, S.A. De C.V."
544,NULL,ANW,"Aviacion Del Noroeste, S.A. De C.V."
545,NULL,NST,"Aviacion Ejecutiva Del Noroeste, S.A. De C.V."
546,NULL,AVM,"Aviacion Ejecutiva Mexicana, S.A."
547,AO,AYC,"Aviacion Y Comercio, S.A. (Aviaco)"
548,NULL,AZS,Aviacon Zitotrans
549,IP,VCR,Aviacor
550,7U,ERG,Aviaenergo
551,NULL,VGG,Aviage
552,NULL,AVF,Aviair Aviation Ltd.
553,NULL,RLC,Avial (Russian Company Limited)
554,NULL,AVG,"Avialgarve, Taxis Aereos Do Algarve, Lda"
555,NULL,MSG,Aviamost
556,AV,AVA,"Avianca, Aerovias Nacionales De Colombia, S.A."
557,RD,NOV,Avianova S.P.A.
558,NULL,OBM,Aviaobshemash
559,NULL,AVX,Aviapaslauga
560,J5,PRL,Aviaprima
561,NULL,TVL,Aviata
562,NULL,UTL,Aviatia Utilitara Sa
563,NULL,AMJ,Aviation Amos M. Et J. Inc.
564,NULL,SUA,"Aviation Associates, Inc. D/B/A Eastern Metro   Express (St. Croix, Vi)"
565,NULL,AVB,Aviation Beauport Ltd.
566,NULL,FTN,Aviation Charter And Management
567,NULL,MMM,Aviation Company Meridian
568,NULL,MTG,Aviation Company Mostransgaz
569,NULL,ADK,Aviation Development Company Nigeria Limited
570,NULL,AVP,Aviation Enterprises
571,NULL,LAT,Aviation Legere De L'Armee De Terre
572,NULL,AAM,"Aviation Management Corporation (Lansing, Il)"
573,NULL,QLA,Aviation Quebec Labrador Ltee.
574,NULL,AVQ,"Aviation Services, Inc. (Hartford, Ct)"
575,NULL,FRE,"Aviation Services, Ltd. (Agana,Guam)"
576,NULL,UAN,Aviaton
577,NULL,AVW,Aviator S.A.
578,NULL,VZR,Aviazur
579,NULL,AIA,Avies
580,NULL,IJE,"Avijet, S.A. De C.V."
581,NULL,LON,Avilond Tac
582,NULL,AGX,Aviogenex
583,NULL,ADQ,Avion Taxi (2695731 Canada Inc.)
584,NULL,ANU,Avionair Inc.
585,NULL,NRE,"Aviones Are, S.A. De C.V."
586,NULL,AQT,"Aviones De Renta De Quintana Roo, S.A. De C.V."
587,NULL,ADS,"Aviones De Sonora, S.A."
588,NULL,JFA,Aviones Ejecutivos J.F.A.
