id,iata,icao,name
2897,NULL,TNA,Tanavco Airways Ltd
2898,NULL,TPE,Tap - Transportes Aereos Presidente S/A
2899,NULL,THC,"Tar Heel Aviation, Inc. (Richlands, Nc)"
2900,NULL,IRR,Tara Air Line
2901,NULL,TMC,Tarmac Aviation Ltd
2902,RO,ROT,"Tarom, Romanian Air Transport"
2903,NULL,RMS,"Tas Aviation, Inc. (Defiance, Oh)"
2904,NULL,TWI,Tasawi Ltd
2905,NULL,TAN,Tasman Air Services
2906,IJ,TBT,Tat
2907,NULL,TAT,Tat-European Airlines
2908,3K,FXG,"Tatonduk Outfitters, Ltd (Fairbanks, Ak)"
2909,NULL,OIR,Tatra Air Group
2910,NULL,TAQ,"Taunus Air Gmbh & Co K, Wiesbaden"
2911,NULL,PGS,Tauranga Aero Club (Inc)
2912,T6,TVR,"Tavrey, Aircompany"
2913,NULL,TVM,Tavria-Mak
2914,NULL,CSU,"Taxi Aereo Centro Sur, S.A. De C.V."
2915,NULL,JML,"Taxi Aereo De Jimulco, S.A. De C.V."
2916,NULL,TXM,Taxi Aereo De Mexico
2917,NULL,VRC,Taxi Aereo De Veracruz
2918,NULL,TUO,"Taxi Aereo Turistico, S.A. De C.V."
2919,NULL,TXR,"Taxirey, S.A. De C.V."
2920,NULL,TBO,"Taxis Aereos De Caborca, S.A. De C.V."
2921,NULL,TNE,"Taxis Aereos Del Noroeste,S.A. De C.V."
2922,NULL,TPF,"Taxis Aereos Del Pacifico, S.A. De C.V."
2923,NULL,TFY,Tayside Aviation Ltd
2924,NULL,TCJ,Tcb - Transportes Charter Do Brasil Ltda.
2925,NULL,TEC,Tea Cyprus Ltd
2926,NULL,BTS,Techaviaservice
2927,NULL,TNV,Tecnavia
2928,ZJ,TED,Teddy Air A/S
2929,NULL,XLT,Telecomunicacoes Aeronauticas S/A-Tasa
2930,NULL,TCM,"Teledyne Continental Motors (Muskegon, Mi)"
2931,NULL,TEL,"Telford Aviation, Inc. (Waterville, Me)"
2932,NULL,TEH,"Tempelhof Airways Usa, Inc."
2933,NULL,TMS,"Temsco Helicopters, Inc. (Ketchikan, Ak)"
2934,NULL,TNG,"Tennessee Air National Guard, 164th Airlift Group"
2935,NULL,TEN,"Tennessee Airways (Alcoa, Tn)"
2936,NULL,SDT,"Terrain Sdp, S.A."
2937,NULL,MXG,Terrex Group J.S.C.
2938,NULL,TER,"Territorial Airlines, Inc. (Santa Fe, Nm)"
2939,NULL,TIS,Tesis
2940,NULL,TXA,"Texair Charter, Inc. (San Antonio, Tx)"
2941,NULL,TXS,"Texas Airlines, Inc. (Galveston, Tx)"
